After Call Work,Metricom,Target,2011/06
After Call Work,Metricom,Target,2011/07
After Call Work,Metricom,Target,2011/08
After Call Work,Metricom,Target,2011/09
After Call Work,Metricom,Target,2011/10
After Call Work,Metricom,Target,2011/11
After Call Work,Metricom,Target,2011/12
After Call Work,Performacall,Actual,2011/01
After Call Work,Performacall,Actual,2011/02
After Call Work,Performacall,Actual,2011/03
After Call Work,Performacall,Actual,2011/04
After Call Work,Performacall,Actual,2011/05
After Call Work,Performacall,Actual,2011/06
After Call Work,Performacall,Actual,2011/07
After Call Work,Performacall,Actual,2011/08
After Call Work,Performacall,Actual,2011/09
After Call Work,Performacall,Actual,2011/10
After Call Work,Performacall,Actual,2011/11
After Call Work,Performacall,Actual,2011/12
After Call Work,Performacall,Target,2011/01
After Call Work,Performacall,Target,2011/02
After Call Work,Performacall,Target,2011/03
After Call Work,Performacall,Target,2011/04
After Call Work,Performacall,Target,2011/05
After Call Work,Performacall,Target,2011/06
After Call Work,Performacall,Target,2011/07
After Call Work,Performacall,Target,2011/08
After Call Work,Performacall,Target,2011/09
After Call Work,Performacall,Target,2011/10
After Call Work,Performacall,Target,2011/11
After Call Work,Performacall,Target,2011/12
After Call Work,TeleSynch,Actual,2011/01
After Call Work,TeleSynch,Actual,2011/02
After Call Work,TeleSynch,Actual,2011/03
After Call Work,TeleSynch,Actual,2011/04
After Call Work,TeleSynch,Actual,2011/05
After Call Work,TeleSynch,Actual,2011/06
After Call Work,TeleSynch,Actual,2011/07
After Call Work,TeleSynch,Actual,2011/08
After Call Work,TeleSynch,Actual,2011/09
After Call Work,TeleSynch,Actual,2011/10
After Call Work,TeleSynch,Actual,2011/11
After Call Work,TeleSynch,Actual,2011/12
After Call Work,TeleSynch,Target,2011/01
After Call Work,TeleSynch,Target,2011/02
After Call Work,TeleSynch,Target,2011/03
After Call Work,TeleSynch,Target,2011/04
After Call Work,TeleSynch,Target,2011/05
After Call Work,TeleSynch,Target,2011/06
After Call Work,TeleSynch,Target,2011/07
After Call Work,TeleSynch,Target,2011/08
After Call Work,TeleSynch,Target,2011/09
After Call Work,TeleSynch,Target,2011/10
After Call Work,TeleSynch,Target,2011/11
After Call Work,TeleSynch,Target,2011/12
Average Abandon Rate,Telelcom Provider,Actual,2011/01
Average Abandon Rate,Telelcom Provider,Actual,2011/02
Average Abandon Rate,Telelcom Provider,Actual,2011/03
Average Abandon Rate,Telelcom Provider,Actual,2011/04
Average Abandon Rate,Telelcom Provider,Actual,2011/05
Average Abandon Rate,Telelcom Provider,Actual,2011/06
Average Abandon Rate,Telelcom Provider,Actual,2011/07
Average Abandon Rate,Telelcom Provider,Actual,2011/08
Average Abandon Rate,Telelcom Provider,Actual,2011/09
Average Abandon Rate,Telelcom Provider,Actual,2011/10
Average Abandon Rate,Telelcom Provider,Actual,2011/11
Average Abandon Rate,Telelcom Provider,Actual,2011/12
Average Abandon Rate,Telelcom Provider,Target,2011/01
Average Abandon Rate,Telelcom Provider,Target,2011/02
Average Abandon Rate,Telelcom Provider,Target,2011/03
Average Abandon Rate,Telelcom Provider,Target,2011/04
Average Abandon Rate,Telelcom Provider,Target,2011/05
Average Abandon Rate,Telelcom Provider,Target,2011/06
Average Abandon Rate,Telelcom Provider,Target,2011/07
Average Abandon Rate,Telelcom Provider,Target,2011/08
Average Abandon Rate,Telelcom Provider,Target,2011/09
Average Abandon Rate,Telelcom Provider,Target,2011/10
Average Abandon Rate,Telelcom Provider,Target,2011/11
Average Abandon Rate,Telelcom Provider,Target,2011/12
Average Abandon Rate,Conversys,Actual,2011/01
Average Abandon Rate,Conversys,Actual,2011/02
Average Abandon Rate,Conversys,Actual,2011/03
Average Abandon Rate,Conversys,Actual,2011/04
Average Abandon Rate,Conversys,Actual,2011/05
Average Abandon Rate,Conversys,Actual,2011/06
Average Abandon Rate,Conversys,Actual,2011/07
Average Abandon Rate,Conversys,Actual,2011/08
Average Abandon Rate,Conversys,Actual,2011/09
Average Abandon Rate,Conversys,Actual,2011/10
Average Abandon Rate,Conversys,Actual,2011/11
Average Abandon Rate,Conversys,Actual,2011/12
Average Abandon Rate,Conversys,Target,2011/01
Average Abandon Rate,Conversys,Target,2011/02
Average Abandon Rate,Conversys,Target,2011/03
Average Abandon Rate,Conversys,Target,2011/04
Average Abandon Rate,Conversys,Target,2011/05
Average Abandon Rate,Conversys,Target,2011/06
Average Abandon Rate,Conversys,Target,2011/07
Average Abandon Rate,Conversys,Target,2011/08
Average Abandon Rate,Conversys,Target,2011/09
Average Abandon Rate,Conversys,Target,2011/10
Average Abandon Rate,Conversys,Target,2011/11
Average Abandon Rate,Conversys,Target,2011/12
Average Abandon Rate,Metricom,Actual,2011/01
Average Abandon Rate,Metricom,Actual,2011/02
Average Abandon Rate,Metricom,Actual,2011/03
Average Abandon Rate,Metricom,Actual,2011/04
Average Abandon Rate,Metricom,Actual,2011/05
Average Abandon Rate,Metricom,Actual,2011/06
Average Abandon Rate,Metricom,Actual,2011/07
Average Abandon Rate,Metricom,Actual,2011/08
Average Abandon Rate,Metricom,Actual,2011/09
Average Abandon Rate,Metricom,Actual,2011/10
Average Abandon Rate,Metricom,Actual,2011/11
Average Abandon Rate,Metricom,Actual,2011/12
Average Abandon Rate,Metricom,Target,2011/01
Average Abandon Rate,Metricom,Target,2011/02
Average Abandon Rate,Metricom,Target,2011/03
Average Abandon Rate,Metricom,Target,2011/04
Average Abandon Rate,Metricom,Target,2011/05
Average Abandon Rate,Metricom,Target,2011/06
Average Abandon Rate,Metricom,Target,2011/07
Average Abandon Rate,Metricom,Target,2011/08
Average Abandon Rate,Metricom,Target,2011/09
Average Abandon Rate,Metricom,Target,2011/10
Average Abandon Rate,Metricom,Target,2011/11
Average Abandon Rate,Metricom,Target,2011/12
Average Abandon Rate,Performacall,Actual,2011/01
Average Abandon Rate,Performacall,Actual,2011/02
Average Abandon Rate,Performacall,Actual,2011/03
Average Abandon Rate,Performacall,Actual,2011/04
Average Abandon Rate,Performacall,Actual,2011/05
Average Abandon Rate,Performacall,Actual,2011/06
Average Abandon Rate,Performacall,Actual,2011/07
Average Abandon Rate,Performacall,Actual,2011/08
Average Abandon Rate,Performacall,Actual,2011/09
Average Abandon Rate,Performacall,Actual,2011/10
Average Abandon Rate,Performacall,Actual,2011/11
Average Abandon Rate,Performacall,Actual,2011/12
Average Abandon Rate,Performacall,Target,2011/01
Average Abandon Rate,Performacall,Target,2011/02
Average Abandon Rate,Performacall,Target,2011/03
Average Abandon Rate,Performacall,Target,2011/04
Average Abandon Rate,Performacall,Target,2011/05
Average Abandon Rate,Performacall,Target,2011/06
Average Abandon Rate,Performacall,Target,2011/07
Average Abandon Rate,Performacall,Target,2011/08
Average Abandon Rate,Performacall,Target,2011/09
Average Abandon Rate,Performacall,Target,2011/10
Average Abandon Rate,Performacall,Target,2011/11
Average Abandon Rate,Performacall,Target,2011/12
Average Abandon Rate,TeleSynch,Actual,2011/01
Average Abandon Rate,TeleSynch,Actual,2011/02
Average Abandon Rate,TeleSynch,Actual,2011/03
Average Abandon Rate,TeleSynch,Actual,2011/04
Average Abandon Rate,TeleSynch,Actual,2011/05
Average Abandon Rate,TeleSynch,Actual,2011/06
Average Abandon Rate,TeleSynch,Actual,2011/07
Average Abandon Rate,TeleSynch,Actual,2011/08
Average Abandon Rate,TeleSynch,Actual,2011/09
Average Abandon Rate,TeleSynch,Actual,2011/10
Average Abandon Rate,TeleSynch,Actual,2011/11
Average Abandon Rate,TeleSynch,Actual,2011/12
Average Abandon Rate,TeleSynch,Target,2011/01
Average Abandon Rate,TeleSynch,Target,2011/02
Average Abandon Rate,TeleSynch,Target,2011/03
Average Abandon Rate,TeleSynch,Target,2011/04
Average Abandon Rate,TeleSynch,Target,2011/05
Average Abandon Rate,TeleSynch,Target,2011/06
Average Abandon Rate,TeleSynch,Target,2011/07
Average Abandon Rate,TeleSynch,Target,2011/08
Average Abandon Rate,TeleSynch,Target,2011/09
Average Abandon Rate,TeleSynch,Target,2011/10
Average Abandon Rate,TeleSynch,Target,2011/11
Average Abandon Rate,TeleSynch,Target,2011/12
Churn Rate,Telelcom Provider,Actual,2011/01
Churn Rate,Telelcom Provider,Actual,2011/02
Churn Rate,Telelcom Provider,Actual,2011/03
Churn Rate,Telelcom Provider,Actual,2011/04
Churn Rate,Telelcom Provider,Actual,2011/05
Churn Rate,Telelcom Provider,Actual,2011/06
Churn Rate,Telelcom Provider,Actual,2011/07
Churn Rate,Telelcom Provider,Actual,2011/08
Churn Rate,Telelcom Provider,Actual,2011/09
Churn Rate,Telelcom Provider,Actual,2011/10
Churn Rate,Telelcom Provider,Actual,2011/11
Churn Rate,Telelcom Provider,Actual,2011/12
Churn Rate,Telelcom Provider,Target,2011/01
Churn Rate,Telelcom Provider,Target,2011/02
Churn Rate,Telelcom Provider,Target,2011/03
Churn Rate,Telelcom Provider,Target,2011/04
Churn Rate,Telelcom Provider,Target,2011/05
Churn Rate,Telelcom Provider,Target,2011/06
Churn Rate,Telelcom Provider,Target,2011/07
Churn Rate,Telelcom Provider,Target,2011/08
Churn Rate,Telelcom Provider,Target,2011/09
Churn Rate,Telelcom Provider,Target,2011/10
Churn Rate,Telelcom Provider,Target,2011/11
Churn Rate,Telelcom Provider,Target,2011/12
